#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.0%	1	0.01	-45.92646343742321	56.982291136682	11.055827699258792	32.63521119399524	0	--
2.0%	2	0.02	-44.67461244199791	96.51762614881589	51.843013706817985	55.278105714530895	757	0:00
3.0%	3	0.03	-42.024270369259725	127.27133966519888	85.24706929593916	72.89154167131518	738	0:00
4.0%	4	0.04	-38.13155881249369	172.941611714448	134.8100529019543	99.04807107514935	750	0:00
5.0%	5	0.05	-31.570946892395717	179.2536264031389	147.68267951074318	102.66312284502142	763	0:00
6.0%	6	0.060000000000000005	-25.21626720989852	205.22819317373563	180.01192596383711	117.53941959127954	768	0:00
7.0%	7	0.07	-17.153394789157232	234.29807705013334	217.1446822609761	134.18848337524582	762	0:00
8.0%	8	0.08	-8.529037734740228	256.99543782500245	248.46640009026223	147.1878406783311	764	0:00
9.0%	9	0.09	0.9507623723226644	285.4033231667017	286.35408553902437	163.45776102037826	767	0:00
10.0%	10	0.09999999999999999	11.115639369875552	303.3365749433265	314.4522143132021	173.72859161442025	747	0:00
11.0%	11	0.10999999999999999	21.35731836301599	306.7999152090084	328.15723357202444	175.7121349004577	746	0:00
12.0%	12	0.11999999999999998	31.354507474898554	330.1335542343738	361.4880617092723	189.07590498282698	743	0:00
13.0%	13	0.12999999999999998	40.64144251056341	345.3309249453535	385.9723674559169	197.7798267250502	740	0:00
14.0%	14	0.13999999999999999	51.307846935323376	356.8879909145849	408.1958378499083	204.39885311316266	739	0:00
15.0%	15	0.15	61.68892907576464	369.71428826647696	431.4032173422416	211.74480067978328	738	0:00
16.0%	16	0.16	72.08420893128475	391.8732013224788	463.95741025376356	224.4357752437469	739	0:00
17.0%	17	0.17	79.11462563037276	414.4412494441968	493.55587507456954	237.3610718928735	740	0:00
18.0%	18	0.18000000000000002	84.94753805254456	435.96160329272874	520.9091413452733	249.68632731532938	739	0:00
19.0%	19	0.19000000000000003	91.37126161409574	437.0008071677637	528.3720687818594	250.28150587447212	738	0:00
20.0%	20	0.20000000000000004	96.00263816601847	431.99119151151604	527.9938296775344	247.41237124192062	737	0:00
21.0%	21	0.21000000000000005	101.24260399353366	467.7237080453752	568.9663120389089	267.8772946473034	714	0:00
22.0%	22	0.22000000000000006	106.13300206325337	443.62216099957584	549.7551630628292	254.07372405982082	718	0:00
23.0%	23	0.23000000000000007	108.50389394587293	445.4633381940358	553.9672321399088	255.12821318948116	723	0:00
24.0%	24	0.24000000000000007	111.06543888123977	437.359650577136	548.4250894583757	250.48702464559963	726	0:00
25.0%	25	0.25000000000000006	113.84864194551824	435.1584283199748	549.007070265493	249.22632852730797	730	0:00
26.0%	26	0.26000000000000006	115.59816196601425	439.0786793318552	554.6768412978695	251.4715562490103	731	0:00
27.0%	27	0.2700000000000001	117.58368069154864	432.0125379404759	549.5962186320246	247.42459688612422	734	0:00
28.0%	28	0.2800000000000001	118.79511550418248	416.907932149743	535.7030476539254	238.77380397925066	736	0:00
29.0%	29	0.2900000000000001	118.79129328348725	410.7373667834212	529.5286600669084	235.2397638432859	738	0:00
30.0%	30	0.3000000000000001	120.08569090394877	414.5365103422407	534.6222012461894	237.41563023835553	739	0:00
31.0%	31	0.3100000000000001	120.71949629961547	415.4325295629961	536.1520258626116	237.92880329475457	741	0:00
32.0%	32	0.3200000000000001	120.68969453695914	423.3911495241577	544.0808440611169	242.48690789294008	743	0:00
33.0%	33	0.3300000000000001	121.38087459552507	442.6784000636193	564.0592746591443	253.5332081057026	730	0:00
34.0%	34	0.34000000000000014	121.4942211019589	473.9890837909074	595.4833048928663	271.46563510512595	713	0:00
35.0%	35	0.35000000000000014	123.75892633414306	502.9503028143076	626.7092291484506	288.05246375680474	691	0:00
36.0%	36	0.36000000000000015	125.81098089601522	503.9242374968333	629.7352183928485	288.6102609850198	681	0:00
37.0%	37	0.37000000000000016	125.97322673124705	467.7837570241258	593.7569837553729	267.9116862286951	672	0:00
38.0%	38	0.38000000000000017	125.90805994702552	483.2744617551601	609.1825217021856	276.78360784428077	672	0:00
39.0%	39	0.3900000000000002	125.31235143721997	505.0755345464792	630.3878859836992	289.269638163661	675	0:00
40.0%	40	0.4000000000000002	126.11714880201139	496.1356446935286	622.25279349554	284.149535275866	677	0:00
41.0%	41	0.4100000000000002	129.19075070960275	469.9653864725501	599.1561371821529	269.1611610458025	680	0:00
42.0%	42	0.4200000000000002	133.42908403305114	447.77227232775203	581.2013563608032	256.4505986461506	683	0:00
43.0%	43	0.4300000000000002	134.68668654024896	427.155330833613	561.842017373862	244.64275051625435	686	0:00
44.0%	44	0.4400000000000002	136.2737750898021	448.18255113985555	584.4563262296576	256.68557578403545	686	0:00
45.0%	45	0.45000000000000023	134.5210738293703	459.74589837957757	594.2669722089479	263.30819961593147	688	0:00
46.0%	46	0.46000000000000024	135.123877854317	447.15806116289457	582.2819390172116	256.098824249527	688	0:00
47.0%	47	0.47000000000000025	134.31306481741217	440.8417369319898	575.1548017494019	252.4813042949349	690	0:00
48.0%	48	0.48000000000000026	133.48872679570115	421.21595463705046	554.7046814327516	241.2411183131816	692	0:00
49.0%	49	0.49000000000000027	131.27988813702083	439.86070755594665	571.1405956929675	251.9194437548263	693	0:00
50.0%	50	0.5000000000000002	130.63428223904592	449.1652164525353	579.7994986915812	257.24837326677255	695	0:00
51.0%	51	0.5100000000000002	130.05438496629338	453.491583684568	583.5459686508614	259.7261941038023	697	0:00
52.0%	52	0.5200000000000002	126.83659597369956	477.8083302920441	604.6449262657436	273.6530149678898	700	0:00
53.0%	53	0.5300000000000002	124.36562667961827	489.31176581647895	613.6773924960972	280.24132583268	701	0:00
54.0%	54	0.5400000000000003	120.75492574337689	483.4016790531686	604.1566047965455	276.85646843491725	703	0:00
55.0%	55	0.5500000000000003	119.26495018684996	478.51508662903854	597.7800368158885	274.0577923445169	705	0:00
