#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.0%	100	1.0000000000000007	112.15950182494635	383.99685559757603	496.1563574225224	219.92479119867653	0	--
2.0%	200	2.0000000000000013	116.73561843534117	385.7056310864027	502.4412495217439	220.9034504952502	1.35e+04	0:00
3.0%	300	2.99999999999998	100.02302588376915	393.8776904714303	493.90071635519945	225.58379729423248	1.34e+04	0:00
4.0%	400	3.9999999999999587	97.57656661877445	396.010946828625	493.58751344739943	226.805567608469	1.32e+04	0:00
5.0%	500	4.999999999999938	88.35297236277984	409.4886403707006	497.8416127334804	234.52458638394316	1.32e+04	0:00
6.0%	600	5.9999999999999165	82.68885891962964	404.10304886034186	486.7919077799715	231.44012079228145	1.32e+04	0:00
7.0%	700	6.999999999999895	62.4000700377801	426.06354021296505	488.46361025074515	244.01745418692627	1.31e+04	0:00
8.0%	800	7.999999999999874	93.13793513050996	396.734716023794	489.872651154304	227.22008868280406	1.3e+04	0:00
9.0%	900	8.999999999999853	73.20370343855757	415.2607586351525	488.4644620737101	237.8304257041849	1.3e+04	0:00
10.0%	1000	9.999999999999831	103.67159760274808	398.57043176533966	502.24202936808774	228.27144989911213	1.3e+04	0:00
11.0%	1100	10.99999999999981	85.48291452233389	415.667095642742	501.1500101650759	238.06314527010778	1.31e+04	0:00
12.0%	1200	11.999999999999789	59.470301438937895	439.7855448902171	499.255846329155	251.87639617949964	1.3e+04	0:00
13.0%	1300	12.999999999999767	62.253174597364705	435.17093001624784	497.42410461361254	249.23348856755928	1.3e+04	0:00
14.0%	1400	13.999999999999746	72.53321602431424	433.69961799543006	506.2328340197443	248.39083065448105	1.3e+04	0:00
15.0%	1500	14.999999999999725	46.4287188187094	458.5970455533654	505.0257643720748	262.6502223063789	1.3e+04	0:00
16.0%	1600	15.999999999999703	71.75130961666787	436.4885366610484	508.23984627771625	249.9881154922741	1.31e+04	0:00
17.0%	1700	16.999999999999858	53.81714500068483	462.84284070850913	516.659985709194	265.08189746037004	1.31e+04	0:00
18.0%	1800	18.000000000000014	55.80439008337271	449.30008047530515	505.10447055867786	257.3256133316728	1.31e+04	0:00
19.0%	1900	19.00000000000017	59.61187860259088	449.059854004869	508.6717326074599	257.1880295062302	1.31e+04	0:00
20.0%	2000	20.000000000000327	58.69935983882104	429.1242383523316	487.82359819115266	245.77039405976677	1.32e+04	0:00
21.0%	2100	21.000000000000483	60.92761598530342	424.2852305849701	485.21284657027354	242.99897091571626	1.31e+04	0:00
22.0%	2200	22.00000000000064	44.976885494697854	443.64487210251696	488.6217575972148	254.08673128761288	1.31e+04	0:00
23.0%	2300	23.000000000000796	56.1802867614133	436.8098961273876	492.9901828888009	250.17216625337835	1.31e+04	0:00
24.0%	2400	24.000000000000952	37.84557915465621	454.11714820112184	491.96272735577804	260.08447085445505	1.31e+04	0:00
25.0%	2500	25.00000000000111	50.84607766907209	437.16007868792093	488.006156356993	250.3727247355223	1.31e+04	0:00
26.0%	2600	26.000000000001265	39.187897861760575	445.59017045161045	484.778068313371	255.20085325764242	1.31e+04	0:00
27.0%	2700	27.00000000000142	45.243144692021815	439.9820446113411	485.2251893033629	251.98893658057025	1.31e+04	0:00
28.0%	2800	28.000000000001577	36.724402231796375	455.62751773802444	492.3519199698208	260.9494980029697	1.31e+04	0:00
29.0%	2900	29.000000000001734	34.65618984548382	445.3469156953226	480.0031055408064	255.0615350556706	1.31e+04	0:00
30.0%	3000	30.00000000000189	49.724309000253925	433.0319951757485	482.7563041760024	248.0084660411317	1.31e+04	0:00
31.0%	3100	31.000000000002046	43.2333140569026	443.85434088224844	487.08765493915104	254.2066993992616	1.31e+04	0:00
32.0%	3200	32.0000000000022	42.88376687190066	457.6487741210146	500.53254099291524	262.1071230759572	1.31e+04	0:00
33.0%	3300	33.000000000002004	62.78142208574218	443.45819796648107	506.23962005222324	253.9798182496767	1.32e+04	0:00
34.0%	3400	34.000000000001805	40.83449862655107	474.0692378386404	514.9037364651915	271.51154137220715	1.32e+04	0:00
35.0%	3500	35.000000000001606	74.9929650288125	435.323424389748	510.31638941856056	249.3208259839004	1.32e+04	0:00
36.0%	3600	36.00000000000141	57.92287234107789	446.2080405860364	504.1309129271143	255.55472323944232	1.32e+04	0:00
37.0%	3700	37.00000000000121	64.53207875258613	441.0876425305589	505.61972128314505	252.62214070187815	1.32e+04	0:00
38.0%	3800	38.00000000000101	38.55448547071137	461.52519914588083	500.0796846165922	264.32725053732486	1.32e+04	0:00
39.0%	3900	39.00000000000081	51.16016861752723	445.2198980782109	496.38006669573815	254.98878882737563	1.32e+04	0:00
40.0%	4000	40.00000000000061	68.62764229116146	428.088085574391	496.7157278655525	245.17696294173356	1.31e+04	0:00
41.0%	4100	41.00000000000041	58.358865945810976	433.22235574148414	491.5812216872951	248.11749039136166	1.31e+04	0:00
42.0%	4200	42.00000000000021	55.16678161784418	439.80924826798986	494.976029885834	251.88997170839104	1.31e+04	0:00
43.0%	4300	43.000000000000014	48.358699874828744	437.70961285811455	486.0683127329433	250.68745696802534	1.32e+04	0:00
44.0%	4400	43.999999999999815	49.203623757754826	444.2476906774054	493.4513144351602	254.43198085744783	1.31e+04	0:00
45.0%	4500	44.999999999999616	29.516806363328215	449.0650136304235	478.5818199937517	257.1909845553567	1.32e+04	0:00
46.0%	4600	45.99999999999942	27.171922935267503	444.1267565294963	471.2986794647638	254.36271878709488	1.32e+04	0:00
47.0%	4700	46.99999999999922	29.85976655460763	432.49287312084726	462.3526396754549	247.69969709256767	1.32e+04	0:00
48.0%	4800	47.99999999999902	37.904379511703155	424.37894560828306	462.2833251199862	243.05264389931975	1.33e+04	0:00
49.0%	4900	48.99999999999882	36.94460841107502	435.4823167022815	472.4269251133565	249.4118276630746	1.33e+04	0:00
50.0%	5000	49.99999999999862	14.427487377048237	457.8493597673223	472.27684714437055	262.2220035905724	1.34e+04	0:00
51.0%	5100	50.99999999999842	52.45157403218036	432.8744929974642	485.32606702964455	247.9182605272907	1.34e+04	0:00
52.0%	5200	51.999999999998224	37.24104616799741	446.62322233439465	483.86426850239206	255.79250841394614	1.35e+04	0:00
53.0%	5300	52.999999999998025	31.61075344533492	453.27234845171427	484.8831018970492	259.6006324954039	1.36e+04	0:00
54.0%	5400	53.999999999997826	34.510995533810274	454.01341683852655	488.5244123723368	260.0250612579259	1.36e+04	0:00
55.0%	5500	54.99999999999763	24.26027437139419	457.4483563769973	481.7086307483915	261.9923387232652	1.37e+04	0:00
56.0%	5600	55.99999999999743	26.669823997595813	457.897592574875	484.5674165724708	262.24962774940417	1.38e+04	0:00
57.0%	5700	56.99999999999723	43.585999619812355	451.72020986488087	495.3062094846932	258.71168314687463	1.38e+04	0:00
58.0%	5800	57.99999999999703	16.336032866303867	477.9166932527736	494.25272611907747	273.71507719877707	1.39e+04	0:00
59.0%	5900	58.99999999999683	25.088969688303564	468.35067389122986	493.4396435795334	268.23637397498095	1.39e+04	0:00
60.0%	6000	59.99999999999663	76.0077548262907	416.54942808545366	492.55718291174435	238.56847955970554	1.39e+04	0:00
61.0%	6100	60.99999999999643	43.66815447584213	455.0928945084693	498.76104898431146	260.6433056464024	1.39e+04	0:00
62.0%	6200	61.999999999996234	66.24669371492928	441.1431810239545	507.3898747388838	252.6539490132887	1.4e+04	0:00
63.0%	6300	62.999999999996035	57.36691868874914	458.8265246085136	516.1934432972628	262.7816508130249	1.4e+04	0:00
64.0%	6400	63.999999999995836	57.6278676685497	451.66334542591665	509.29121309446634	258.67911543262505	1.41e+04	0:00
65.0%	6500	64.99999999999635	71.3679497379635	440.3886457965946	511.7565955345581	252.22180744777785	1.41e+04	0:00
66.0%	6600	65.99999999999686	39.69446585421974	485.6621892814815	525.3566551357012	278.1511202861427	1.42e+04	0:00
67.0%	6700	66.99999999999737	52.927762085138966	476.0933867926781	529.021148877817	272.6708230943947	1.42e+04	0:00
