#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.1%	1000	9.999999999999831	56.181975120928655	871.4010203128887	927.5829954338174	249.53679261825116	0	--
0.1%	2000	20.000000000000327	94.15904671841145	1061.2123233320729	1155.3713700504843	303.8916793512173	1.44e+04	1:59
0.1%	3000	30.00000000000189	172.06717718579876	1185.8403612678237	1357.9075384536225	339.5805070342814	1.46e+04	1:58
0.2%	4000	40.00000000000061	143.2991888928127	1386.6701488647188	1529.9693377575315	397.0906773128744	1.47e+04	1:57
0.2%	5000	49.99999999999862	165.46986237341503	1453.5676096454317	1619.0374720188468	416.2476181568619	1.58e+04	1:49
0.3%	6000	59.99999999999663	233.67389160111588	1497.7943445190392	1731.468236120155	428.9125075832881	1.65e+04	1:44
0.3%	7000	69.9999999999989	271.5392684162507	1470.2971725756452	1741.8364409918959	421.0383418055577	1.7e+04	1:41
0.4%	8000	80.00000000000402	251.47121331059316	1499.8576094147927	1751.3288227253859	429.5033497930245	1.73e+04	1:39
0.5%	9000	90.00000000000914	189.66582152925548	1635.773419813561	1825.4392413428166	468.42457504112093	1.76e+04	1:37
0.5%	10000	100.00000000001425	219.80219880186996	1711.6724738963348	1931.4746726982048	490.1592368983839	1.77e+04	1:37
0.6%	11000	110.00000000001937	305.68793077579176	1719.2338635695903	2024.921794345382	492.32453723980814	1.79e+04	1:35
0.6%	12000	120.00000000002449	337.0297506292263	1649.5801859122764	1986.6099365415027	472.37831855116036	1.81e+04	1:34
0.7%	13000	130.00000000002674	383.68457771382236	1578.1764980387156	1961.861075752538	451.930962124282	1.83e+04	1:34
0.7%	14000	140.00000000001765	374.92182821493043	1737.5462738644499	2112.4681020793805	497.5685294128353	1.84e+04	1:33
0.8%	15000	150.00000000000855	440.14807417192856	1705.0121782078545	2145.160252379783	488.25197630853995	1.85e+04	1:32
0.8%	16000	159.99999999999946	422.8212541302346	1664.750137276208	2087.5713914064427	476.72242754264533	1.86e+04	1:32
